                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.01839,                0.64238,                0.98013,                0.73611,              0.0002374,              0.0002374,              0.0002374
                      2,                0.04419,                0.78146,                0.98675,                0.72906,             0.00047069,             0.00047069,             0.00047069
                      3,                0.03315,                0.75497,                      1,                0.70661,             0.00069927,             0.00069927,             0.00069927
                      4,                0.02175,                0.65563,                0.98675,                0.73044,             0.00069279,             0.00069279,             0.00069279
                      5,                0.01857,                0.69536,                0.96689,                0.72986,             0.00069279,             0.00069279,             0.00069279
                      6,                0.01615,                0.81457,                0.98013,                0.67969,             0.00068573,             0.00068573,             0.00068573
                      7,                0.01564,                0.69536,                0.96689,                0.73926,             0.00067866,             0.00067866,             0.00067866
                      8,                0.01219,                0.83444,                0.99338,                0.65202,             0.00067159,             0.00067159,             0.00067159
                      9,                0.01039,                0.78808,                0.98675,                0.66873,             0.00066452,             0.00066452,             0.00066452
                     10,                0.00827,                 0.7947,                0.99338,                0.66274,             0.00065745,             0.00065745,             0.00065745
                     11,                0.00608,                0.78146,                0.99338,                0.67371,             0.00065038,             0.00065038,             0.00065038
                     12,                0.00718,                0.75497,                0.98675,                0.67287,             0.00064331,             0.00064331,             0.00064331
                     13,                0.00504,                0.82119,                0.99338,                0.66153,             0.00063625,             0.00063625,             0.00063625
                     14,                0.00533,                0.78146,                0.98675,                0.67351,             0.00062918,             0.00062918,             0.00062918
                     15,                0.00809,                0.62914,                0.97351,                0.71424,             0.00062211,             0.00062211,             0.00062211
                     16,                0.01312,                0.70861,                0.98013,                0.71043,             0.00061504,             0.00061504,             0.00061504
                     17,                 0.0102,                0.72185,                0.97351,                0.69135,             0.00060797,             0.00060797,             0.00060797
                     18,                 0.0051,                0.74834,                0.99338,                0.68235,              0.0006009,              0.0006009,              0.0006009
                     19,                0.00423,                0.77483,                0.98013,                0.67859,             0.00059383,             0.00059383,             0.00059383
                     20,                0.00376,                0.78808,                0.97351,                0.67212,             0.00058677,             0.00058677,             0.00058677
                     21,                0.00381,                0.78808,                0.97351,                0.66585,              0.0005797,              0.0005797,              0.0005797
                     22,                0.00504,                0.74172,                0.97351,                0.67779,             0.00057263,             0.00057263,             0.00057263
                     23,                0.00419,                 0.7947,                0.98013,                0.66263,             0.00056556,             0.00056556,             0.00056556
                     24,                0.00377,                0.82119,                0.98675,                0.65883,             0.00055849,             0.00055849,             0.00055849
                     25,                0.00336,                0.82781,                0.98675,                0.65095,             0.00055142,             0.00055142,             0.00055142
                     26,                 0.0037,                0.78808,                0.98675,                 0.6618,             0.00054435,             0.00054435,             0.00054435
                     27,                0.00339,                0.81457,                0.99338,                0.65577,             0.00053728,             0.00053728,             0.00053728
                     28,                0.00314,                0.80795,                0.98675,                0.65817,             0.00053022,             0.00053022,             0.00053022
                     29,                 0.0038,                0.77483,                0.98013,                 0.6696,             0.00052315,             0.00052315,             0.00052315
                     30,                0.00335,                0.84106,                      1,                0.64208,             0.00051608,             0.00051608,             0.00051608
                     31,                0.00322,                0.82119,                      1,                 0.6503,             0.00050901,             0.00050901,             0.00050901
                     32,                 0.0032,                 0.7947,                0.98675,                0.65399,             0.00050194,             0.00050194,             0.00050194
                     33,                0.00311,                0.78146,                0.98675,                0.66651,             0.00049487,             0.00049487,             0.00049487
                     34,                0.00309,                0.77483,                0.98675,                0.66484,              0.0004878,              0.0004878,              0.0004878
                     35,                0.00303,                0.77483,                0.98675,                0.66415,             0.00048074,             0.00048074,             0.00048074
                     36,                0.00306,                0.76159,                0.98675,                0.67367,             0.00047367,             0.00047367,             0.00047367
